 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 08, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  O- U.txt

 Ion = Strontium [38] , Mass = 92 amu

 Target Density =  6,0000E+00 g/cm3 = 5,1065E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      O      8    075,00    016,78   
      U     92    025,00    083,22   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,00 keV   2,172E-02  6,187E-01      27 A        21 A        15 A   
   1,10 keV   2,278E-02  6,475E-01      28 A        22 A        15 A   
   1,20 keV   2,379E-02  6,747E-01      29 A        23 A        16 A   
   1,30 keV   2,476E-02  7,004E-01      31 A        23 A        17 A   
   1,40 keV   2,570E-02  7,247E-01      32 A        24 A        17 A   
   1,50 keV   2,660E-02  7,480E-01      33 A        25 A        18 A   
   1,60 keV   2,747E-02  7,702E-01      34 A        26 A        18 A   
   1,70 keV   2,831E-02  7,914E-01      35 A        26 A        19 A   
   1,80 keV   2,914E-02  8,118E-01      36 A        27 A        19 A   
   2,00 keV   3,071E-02  8,503E-01      38 A        28 A        20 A   
   2,25 keV   3,257E-02  8,947E-01      40 A        30 A        21 A   
   2,50 keV   3,434E-02  9,355E-01      42 A        31 A        22 A   
   2,75 keV   3,601E-02  9,734E-01      44 A        33 A        23 A   
   3,00 keV   3,761E-02  1,009E+00      46 A        34 A        24 A   
   3,25 keV   3,915E-02  1,042E+00      48 A        35 A        25 A   
   3,50 keV   4,063E-02  1,073E+00      50 A        37 A        26 A   
   3,75 keV   4,205E-02  1,103E+00      52 A        38 A        27 A   
   4,00 keV   4,343E-02  1,131E+00      54 A        39 A        28 A   
   4,50 keV   4,607E-02  1,182E+00      58 A        41 A        29 A   
